customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,avg_order_value,recency,frequency,monetary,churn,lifetime_days,avg_monthly_spend,predicted_clv_12m
10001,2022-04-13,2023-11-05,21,51992342.0,2475826.0,57,21,51992342.0,0,571,2595291.6139767054,31143499.367720462
10002,2023-03-12,2023-12-31,24,1310954.0,54623.0,1,24,1310954.0,0,294,121384.62962962962,1456615.5555555555
10003,2022-09-28,2022-12-31,21,33644570.0,1602122.0,366,21,33644570.0,1,94,8139815.322580646,97677783.87096775
10004,2022-04-17,2023-03-04,17,8375180.0,492658.0,303,17,8375180.0,1,321,715827.3504273505,8589928.205128206
10005,2022-03-13,2022-05-06,18,47967909.0,2664884.0,605,18,47967909.0,1,54,17131396.07142857,205576752.85714287
10006,2022-01-21,2023-08-22,26,5956551.0,229098.0,132,26,5956551.0,1,578,293908.7664473684,3526905.197368421
10007,2022-05-02,2022-06-01,11,49717210.0,4519746.0,579,11,49717210.0,1,30,24858605.0,298303260.0
10008,2023-04-12,2023-12-31,6,32235060.0,5372510.0,1,6,32235060.0,0,263,3300518.088737201,39606217.06484641
10009,2022-08-03,2023-01-20,17,1264418.0,74378.0,346,17,1264418.0,1,170,189662.69999999998,2275952.4
10010,2022-11-27,2023-07-02,27,46615566.0,1726502.0,183,27,46615566.0,1,217,5661809.63562753,67941715.62753035
10011,2023-04-04,2023-09-08,14,27702960.0,1978783.0,115,14,27702960.0,1,157,4444325.133689839,53331901.60427807
10012,2022-03-29,2022-11-14,25,14543623.0,581745.0,413,25,14543623.0,1,230,1678110.346153846,20137324.153846152
10013,2023-01-08,2023-06-13,5,40177782.0,8035556.0,202,5,40177782.0,1,156,6480287.419354838,77763449.03225806
10014,2022-04-10,2023-01-21,25,48274610.0,1930984.0,345,25,48274610.0,1,286,4583032.594936709,54996391.1392405
10015,2022-05-11,2023-12-08,16,25771494.0,1610718.0,24,16,25771494.0,0,576,1275816.5346534655,15309798.415841587
10016,2022-11-05,2023-06-16,19,17230117.0,906848.0,199,19,17230117.0,1,223,2043096.8774703557,24517162.52964427
10017,2022-12-10,2023-04-22,21,41278412.0,1965639.0,254,21,41278412.0,1,133,7597253.742331288,91167044.90797545
10018,2023-05-07,2023-12-31,8,35834703.0,4479338.0,1,8,35834703.0,0,238,4011347.3507462684,48136168.20895522
10019,2023-02-18,2023-12-09,6,46348626.0,7724771.0,23,6,46348626.0,0,294,4291539.444444444,51498473.33333333
10020,2023-01-21,2023-12-31,9,36379712.0,4042190.0,1,9,36379712.0,0,344,2918158.71657754,35017904.59893048
10021,2022-07-11,2023-04-26,21,13571240.0,646250.0,250,21,13571240.0,1,289,1276292.1630094044,15315505.956112854
10022,2022-10-04,2023-12-21,19,48528290.0,2554121.0,11,19,48528290.0,0,443,3077904.2283298094,36934850.73995771
10023,2022-06-10,2023-07-02,27,6525656.0,241691.0,183,27,6525656.0,1,387,469471.654676259,5633659.856115107
10024,2023-04-05,2023-07-18,18,14811492.0,822861.0,167,18,14811492.0,1,104,3316005.671641791,39792068.05970149
10025,2022-11-10,2023-11-29,17,27625886.0,1625052.0,33,17,27625886.0,0,384,2001875.7971014492,24022509.56521739
10026,2022-01-22,2023-09-27,24,29939695.0,1247487.0,96,24,29939695.0,0,613,1396875.3499222395,16762504.199066874
10027,2022-09-10,2023-04-15,10,1977778.0,197778.0,261,10,1977778.0,1,217,240215.95141700402,2882591.4170040484
10028,2023-04-20,2023-12-31,21,40853094.0,1945385.0,1,21,40853094.0,0,255,4300325.684210527,51603908.21052632
10029,2022-02-28,2022-05-13,10,19569652.0,1956965.0,598,10,19569652.0,1,74,5645091.923076923,67741103.07692307
10030,2023-05-26,2023-12-31,20,21846062.0,1092303.0,1,20,21846062.0,0,219,2632055.6626506024,31584667.95180723
10031,2023-04-21,2023-08-11,18,42315973.0,2350887.0,143,18,42315973.0,1,112,8939994.295774648,107279931.54929578
10032,2022-07-09,2022-12-08,22,20467596.0,930345.0,389,22,20467596.0,1,152,3373779.5604395606,40485354.72527473
10033,2022-09-01,2023-09-23,21,3599024.0,171382.0,100,21,3599024.0,0,387,258922.58992805754,3107071.0791366906
10034,2023-05-20,2023-12-31,12,10163140.0,846928.0,1,12,10163140.0,0,225,1195663.5294117648,14347962.352941178
10035,2022-05-11,2022-08-14,19,49759881.0,2618941.0,505,19,49759881.0,1,95,11942371.440000001,143308457.28000003
10036,2023-04-30,2023-12-31,15,4776592.0,318439.0,1,15,4776592.0,0,245,521082.76363636367,6252993.163636364
10037,2022-01-21,2022-07-31,15,19230505.0,1282034.0,519,15,19230505.0,1,191,2610475.791855204,31325709.502262447
10038,2022-06-16,2023-07-30,9,26761502.0,2973500.0,155,9,26761502.0,1,409,1828804.2369020502,21945650.8428246
10039,2022-10-01,2023-10-23,12,26258666.0,2188222.0,70,12,26258666.0,0,387,1889112.6618705036,22669351.94244604
10040,2023-01-23,2023-08-28,4,1401165.0,350291.0,126,4,1401165.0,1,217,170181.983805668,2042183.805668016
10041,2022-11-12,2023-10-29,6,26659067.0,4443178.0,64,6,26659067.0,0,351,2099139.1338582677,25189669.606299214
10042,2022-01-14,2023-05-08,27,20695641.0,766505.0,238,27,20695641.0,1,479,1219782.377210216,14637388.526522592
10043,2022-08-30,2023-12-31,8,50581630.0,6322704.0,1,8,50581630.0,0,488,2929438.0308880312,35153256.37065637
10044,2022-12-12,2023-01-23,26,9285281.0,357126.0,343,26,9285281.0,1,42,3868867.0833333335,46426405.0
10045,2022-12-06,2023-07-07,20,19191033.0,959552.0,178,20,19191033.0,1,213,2369263.3333333335,28431160.0
10046,2022-04-02,2022-08-20,25,22509659.0,900386.0,499,25,22509659.0,1,140,3972292.764705882,47667513.176470585
10047,2023-01-02,2023-12-31,8,21047232.0,2630904.0,1,8,21047232.0,0,363,1606658.93129771,19279907.17557252
10048,2023-03-31,2023-12-31,27,35024206.0,1297193.0,1,27,35024206.0,0,275,3445003.8688524594,41340046.426229514
10049,2023-03-04,2023-12-31,25,12148053.0,485922.0,1,25,12148053.0,0,302,1097715.6325301204,13172587.590361446
10050,2023-05-24,2023-12-31,19,12430435.0,654233.0,1,19,12430435.0,0,221,1485709.3625498007,17828512.35059761
10051,2022-02-04,2022-10-06,16,38243916.0,2390245.0,452,16,38243916.0,1,244,4187290.072992701,50247480.87591241
10052,2022-07-25,2023-12-31,26,26614758.0,1023645.0,1,26,26614758.0,0,524,1441232.3826714803,17294788.592057765
10053,2022-03-22,2022-05-17,13,22289908.0,1714608.0,594,13,22289908.0,1,56,7775549.302325581,93306591.62790698
10054,2023-01-23,2023-10-10,21,9795515.0,466453.0,83,21,9795515.0,0,260,1013329.1379310346,12159949.655172415
10055,2022-01-02,2023-08-19,4,10726383.0,2681596.0,135,4,10726383.0,1,594,515691.4903846154,6188297.884615384
10056,2023-01-25,2023-12-31,5,1736023.0,347205.0,1,5,1736023.0,0,340,140758.62162162163,1689103.4594594594
10057,2022-04-16,2023-01-03,13,5844454.0,449573.0,363,13,5844454.0,1,262,600457.6027397261,7205491.232876712
10058,2023-04-22,2023-12-31,8,29487406.0,3685926.0,1,8,29487406.0,0,253,3125873.4275618372,37510481.13074204
10059,2023-02-06,2023-12-31,16,46507155.0,2906697.0,1,16,46507155.0,0,328,3897247.625698324,46766971.508379884
10060,2022-06-11,2023-08-17,21,15787970.0,751808.0,137,21,15787970.0,1,432,1025192.8571428572,12302314.285714285
