customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,avg_order_value,recency,frequency,monetary,churn
10001,2022-04-13,2023-11-05,21,51992342.0,2475826.0,57,21,51992342.0,0
10002,2023-03-12,2023-12-31,24,1310954.0,54623.0,1,24,1310954.0,0
10003,2022-09-28,2022-12-31,21,33644570.0,1602122.0,366,21,33644570.0,1
10004,2022-04-17,2023-03-04,17,8375180.0,492658.0,303,17,8375180.0,1
10005,2022-03-13,2022-05-06,18,47967909.0,2664884.0,605,18,47967909.0,1
10006,2022-01-21,2023-08-22,26,5956551.0,229098.0,132,26,5956551.0,1
10007,2022-05-02,2022-06-01,11,49717210.0,4519746.0,579,11,49717210.0,1
10008,2023-04-12,2023-12-31,6,32235060.0,5372510.0,1,6,32235060.0,0
10009,2022-08-03,2023-01-20,17,1264418.0,74378.0,346,17,1264418.0,1
10010,2022-11-27,2023-07-02,27,46615566.0,1726502.0,183,27,46615566.0,1
10011,2023-04-04,2023-09-08,14,27702960.0,1978783.0,115,14,27702960.0,1
10012,2022-03-29,2022-11-14,25,14543623.0,581745.0,413,25,14543623.0,1
10013,2023-01-08,2023-06-13,5,40177782.0,8035556.0,202,5,40177782.0,1
10014,2022-04-10,2023-01-21,25,48274610.0,1930984.0,345,25,48274610.0,1
10015,2022-05-11,2023-12-08,16,25771494.0,1610718.0,24,16,25771494.0,0
10016,2022-11-05,2023-06-16,19,17230117.0,906848.0,199,19,17230117.0,1
10017,2022-12-10,2023-04-22,21,41278412.0,1965639.0,254,21,41278412.0,1
10018,2023-05-07,2023-12-31,8,35834703.0,4479338.0,1,8,35834703.0,0
10019,2023-02-18,2023-12-09,6,46348626.0,7724771.0,23,6,46348626.0,0
10020,2023-01-21,2023-12-31,9,36379712.0,4042190.0,1,9,36379712.0,0
10021,2022-07-11,2023-04-26,21,13571240.0,646250.0,250,21,13571240.0,1
10022,2022-10-04,2023-12-21,19,48528290.0,2554121.0,11,19,48528290.0,0
10023,2022-06-10,2023-07-02,27,6525656.0,241691.0,183,27,6525656.0,1
10024,2023-04-05,2023-07-18,18,14811492.0,822861.0,167,18,14811492.0,1
10025,2022-11-10,2023-11-29,17,27625886.0,1625052.0,33,17,27625886.0,0
10026,2022-01-22,2023-09-27,24,29939695.0,1247487.0,96,24,29939695.0,0
10027,2022-09-10,2023-04-15,10,1977778.0,197778.0,261,10,1977778.0,1
10028,2023-04-20,2023-12-31,21,40853094.0,1945385.0,1,21,40853094.0,0
10029,2022-02-28,2022-05-13,10,19569652.0,1956965.0,598,10,19569652.0,1
10030,2023-05-26,2023-12-31,20,21846062.0,1092303.0,1,20,21846062.0,0
10031,2023-04-21,2023-08-11,18,42315973.0,2350887.0,143,18,42315973.0,1
10032,2022-07-09,2022-12-08,22,20467596.0,930345.0,389,22,20467596.0,1
10033,2022-09-01,2023-09-23,21,3599024.0,171382.0,100,21,3599024.0,0
10034,2023-05-20,2023-12-31,12,10163140.0,846928.0,1,12,10163140.0,0
10035,2022-05-11,2022-08-14,19,49759881.0,2618941.0,505,19,49759881.0,1
10036,2023-04-30,2023-12-31,15,4776592.0,318439.0,1,15,4776592.0,0
10037,2022-01-21,2022-07-31,15,19230505.0,1282034.0,519,15,19230505.0,1
10038,2022-06-16,2023-07-30,9,26761502.0,2973500.0,155,9,26761502.0,1
10039,2022-10-01,2023-10-23,12,26258666.0,2188222.0,70,12,26258666.0,0
10040,2023-01-23,2023-08-28,4,1401165.0,350291.0,126,4,1401165.0,1
10041,2022-11-12,2023-10-29,6,26659067.0,4443178.0,64,6,26659067.0,0
10042,2022-01-14,2023-05-08,27,20695641.0,766505.0,238,27,20695641.0,1
10043,2022-08-30,2023-12-31,8,50581630.0,6322704.0,1,8,50581630.0,0
10044,2022-12-12,2023-01-23,26,9285281.0,357126.0,343,26,9285281.0,1
10045,2022-12-06,2023-07-07,20,19191033.0,959552.0,178,20,19191033.0,1
10046,2022-04-02,2022-08-20,25,22509659.0,900386.0,499,25,22509659.0,1
10047,2023-01-02,2023-12-31,8,21047232.0,2630904.0,1,8,21047232.0,0
10048,2023-03-31,2023-12-31,27,35024206.0,1297193.0,1,27,35024206.0,0
10049,2023-03-04,2023-12-31,25,12148053.0,485922.0,1,25,12148053.0,0
