date,customer_id,product_name,quantity,unit_price,total_revenue
2023-05-10,11743,Leather Jacket,2,966576.0,1933152.0
2023-06-05,10215,Leather Jacket,1,1491742.0,1491742.0
2023-03-15,11880,Oversize Hoodie,3,1548825.0,4646475.0
2023-12-08,10597,Knit Scarf,2,1606727.0,3213454.0
2023-03-31,11718,Oversize Hoodie,5,1769156.0,8845780.0
2023-03-08,11356,Leather Jacket,1,2022754.0,2022754.0
2023-08-24,10128,Basic T-Shirt,5,970930.0,4854650.0
2023-07-19,11293,Basic T-Shirt,2,2138347.0,4276694.0
2023-11-28,11559,Cargo Pants,4,1375525.0,5502100.0
2023-08-15,11778,Leather Jacket,4,2468530.0,9874120.0
2023-12-14,10619,Knit Scarf,4,1982312.0,7929248.0
2023-08-21,12396,Denim Jacket,5,1974239.0,9871195.0
2023-09-23,10142,Basic T-Shirt,1,2335089.0,2335089.0
2023-03-27,10245,Denim Jacket,5,1365802.0,6829010.0
2023-04-12,11314,Denim Jacket,5,1630391.0,8151955.0
2023-08-02,11715,Cargo Pants,4,2052969.0,8211876.0
2023-04-18,11136,Cargo Pants,5,1609278.0,8046390.0
2023-06-14,12262,Leather Jacket,2,1671708.0,3343416.0
2023-04-01,11910,Cargo Pants,3,1199339.0,3598017.0
2023-07-11,12248,Oversize Hoodie,3,1240309.0,3720927.0
2023-12-01,12453,Oversize Hoodie,3,2372133.0,7116399.0
2023-03-27,10421,Oversize Hoodie,4,461773.0,1847092.0
2023-08-10,10007,Slim Jeans,4,712049.0,2848196.0
2023-12-29,11549,Denim Jacket,3,3059227.0,9177681.0
2023-04-11,12334,Oversize Hoodie,1,964300.0,964300.0
2023-08-14,10671,Knit Scarf,3,1599832.0,4799496.0
2023-12-30,12437,Oversize Hoodie,5,2786634.0,13933170.0
2023-03-01,10416,Leather Jacket,3,450282.0,1350846.0
2023-09-07,11007,Basic T-Shirt,3,2994243.0,8982729.0
2023-02-17,11737,Knit Scarf,1,597094.0,597094.0
2023-04-27,10428,Basic T-Shirt,4,919890.0,3679560.0
2023-08-15,10334,Oversize Hoodie,4,530035.0,2120140.0
2023-12-28,12320,Denim Jacket,5,1878680.0,9393400.0
2023-02-02,12367,Oversize Hoodie,3,3043509.0,9130527.0
2023-02-13,10527,Oversize Hoodie,2,2757351.0,5514702.0
2023-06-14,11196,Cargo Pants,5,2209309.0,11046545.0
2023-12-11,11754,Leather Jacket,4,960094.0,3840376.0
2023-10-19,11673,Leather Jacket,1,2841392.0,2841392.0
2023-12-03,12369,Denim Jacket,4,2525632.0,10102528.0
2023-12-10,11556,Leather Jacket,4,1183831.0,4735324.0
2023-10-14,12029,Basic T-Shirt,1,2663995.0,2663995.0
2023-12-30,11655,Knit Scarf,3,2862166.0,8586498.0
2023-08-13,10454,Knit Scarf,3,2370122.0,7110366.0
2023-10-13,10746,Slim Jeans,4,726056.0,2904224.0
2023-07-23,11904,Basic T-Shirt,5,3156679.0,15783395.0
2023-06-21,10929,Leather Jacket,2,659003.0,1318006.0
2023-01-12,10848,Denim Jacket,5,2249803.0,11249015.0
2023-11-03,10868,Summer Dress,5,753944.0,3769720.0
2023-05-01,10774,Slim Jeans,4,2939887.0,11759548.0
2023-09-01,12131,Oversize Hoodie,4,1412439.0,5649756.0
2023-06-01,10543,Cargo Pants,2,1856633.0,3713266.0
2023-06-01,10322,Basic T-Shirt,2,941594.0,1883188.0
2023-07-07,10786,Cargo Pants,2,1953046.0,3906092.0
2023-01-13,10540,Slim Jeans,4,3031810.0,12127240.0
2023-04-01,12300,Denim Jacket,4,2929491.0,11717964.0
2023-07-19,11789,Knit Scarf,5,625714.0,3128570.0
2023-03-15,10449,Denim Jacket,4,1490211.0,5960844.0
2023-09-13,10490,Summer Dress,3,1185436.0,3556308.0
2023-10-03,11906,Slim Jeans,3,1773744.0,5321232.0
2023-11-24,10464,Basic T-Shirt,2,2742755.0,5485510.0
2023-11-25,10314,Leather Jacket,4,2481842.0,9927368.0
2023-03-12,11956,Oversize Hoodie,3,1395940.0,4187820.0
2023-03-19,10385,Leather Jacket,5,1502331.0,7511655.0
2023-10-11,10295,Leather Jacket,1,2249201.0,2249201.0
2023-05-10,11239,Denim Jacket,5,984119.0,4920595.0
2023-02-12,10762,Basic T-Shirt,1,732502.0,732502.0
2023-01-08,11099,Leather Jacket,5,1117118.0,5585590.0
2023-01-13,12392,Denim Jacket,3,791089.0,2373267.0
2023-08-01,11738,Leather Jacket,4,1417957.0,5671828.0
2023-04-21,12190,Basic T-Shirt,1,3028306.0,3028306.0
2023-10-18,11223,Denim Jacket,4,780824.0,3123296.0
2023-01-23,11943,Basic T-Shirt,4,2700386.0,10801544.0
2023-10-29,12454,Summer Dress,3,1920282.0,5760846.0
2023-09-11,10228,Leather Jacket,2,2190483.0,4380966.0
2023-01-15,10411,Slim Jeans,2,917727.0,1835454.0
2023-05-10,10691,Knit Scarf,1,866277.0,866277.0
2023-03-02,10878,Oversize Hoodie,3,897545.0,2692635.0
2023-04-25,10787,Cargo Pants,4,2284423.0,9137692.0
2023-11-16,12110,Oversize Hoodie,5,2506418.0,12532090.0
2023-11-04,11351,Basic T-Shirt,5,2980674.0,14903370.0
2023-11-21,11740,Denim Jacket,1,1545029.0,1545029.0
2023-03-08,11987,Cargo Pants,1,1720416.0,1720416.0
2023-09-06,10879,Basic T-Shirt,1,1741386.0,1741386.0
2023-06-24,11608,Knit Scarf,3,1192219.0,3576657.0
2023-12-05,11614,Denim Jacket,5,1352640.0,6763200.0
2023-01-02,12404,Knit Scarf,3,2778756.0,8336268.0
2023-06-21,10071,Summer Dress,3,1395236.0,4185708.0
2023-11-30,12311,Leather Jacket,4,2840014.0,11360056.0
2023-10-11,10306,Basic T-Shirt,3,1289486.0,3868458.0
2023-02-23,10762,Knit Scarf,3,1384679.0,4154037.0
2023-03-08,10588,Basic T-Shirt,4,1990772.0,7963088.0
2023-04-12,12122,Oversize Hoodie,2,733599.0,1467198.0
2023-04-30,12190,Leather Jacket,4,2985671.0,11942684.0
2023-07-10,11609,Summer Dress,1,2706100.0,2706100.0
2023-10-31,10102,Knit Scarf,2,2293886.0,4587772.0
2023-02-16,11630,Denim Jacket,5,3167344.0,15836720.0
2023-08-10,11605,Basic T-Shirt,3,493998.0,1481994.0
2023-01-21,10193,Basic T-Shirt,2,1580416.0,3160832.0
2023-06-07,11086,Denim Jacket,5,2810443.0,14052215.0
2023-12-14,12458,Basic T-Shirt,4,1640798.0,6563192.0
2023-06-08,10300,Oversize Hoodie,4,464414.0,1857656.0
2023-08-23,10454,Knit Scarf,1,883824.0,883824.0
2023-05-30,10619,Basic T-Shirt,1,1643699.0,1643699.0
2023-09-14,10637,Basic T-Shirt,2,2286857.0,4573714.0
2023-06-14,12349,Oversize Hoodie,3,897299.0,2691897.0
2023-03-18,10779,Basic T-Shirt,4,1682118.0,6728472.0
2023-03-26,11480,Denim Jacket,2,485168.0,970336.0
2023-02-15,12250,Leather Jacket,2,1763126.0,3526252.0
2023-02-16,12350,Leather Jacket,2,2913792.0,5827584.0
2023-08-01,12045,Oversize Hoodie,1,2091112.0,2091112.0
2023-02-28,11648,Leather Jacket,4,1661803.0,6647212.0
2023-02-23,10337,Cargo Pants,1,896213.0,896213.0
2023-12-08,12080,Cargo Pants,1,1006651.0,1006651.0
2023-01-12,11995,Cargo Pants,2,660402.0,1320804.0
2023-07-11,12008,Summer Dress,5,2491630.0,12458150.0
2023-01-06,11783,Basic T-Shirt,5,662122.0,3310610.0
2023-11-05,11072,Summer Dress,5,1505859.0,7529295.0
2023-05-24,12032,Leather Jacket,2,2512073.0,5024146.0
2023-12-12,11274,Oversize Hoodie,3,2410262.0,7230786.0
2023-09-18,11250,Cargo Pants,4,2038213.0,8152852.0
2023-03-14,11296,Oversize Hoodie,2,2021096.0,4042192.0
2023-06-23,10328,Summer Dress,2,698402.0,1396804.0
2023-08-20,10797,Denim Jacket,1,931017.0,931017.0
2023-09-27,11204,Leather Jacket,5,1920547.0,9602735.0
2023-12-28,10665,Knit Scarf,2,1407221.0,2814442.0
2023-08-10,10963,Basic T-Shirt,3,502077.0,1506231.0
2023-02-21,11630,Knit Scarf,4,2644959.0,10579836.0
2023-04-26,11394,Leather Jacket,3,2247986.0,6743958.0
2023-01-26,11269,Cargo Pants,2,1345910.0,2691820.0
2023-02-22,11184,Denim Jacket,2,720064.0,1440128.0
2023-12-31,10373,Leather Jacket,1,2075802.0,2075802.0
2023-01-29,10285,Oversize Hoodie,3,1408511.0,4225533.0
2023-01-19,10807,Slim Jeans,1,1152321.0,1152321.0
2023-10-30,10647,Denim Jacket,3,2434040.0,7302120.0
2023-10-06,11605,Cargo Pants,5,1352413.0,6762065.0
2023-04-27,12184,Knit Scarf,5,824133.0,4120665.0
2023-04-16,10096,Basic T-Shirt,3,1774548.0,5323644.0
2023-11-05,10274,Cargo Pants,1,2728281.0,2728281.0
2023-08-15,11201,Cargo Pants,5,2786562.0,13932810.0
2023-12-18,11773,Basic T-Shirt,2,2785694.0,5571388.0
2023-07-05,10784,Knit Scarf,4,1607530.0,6430120.0
2023-09-18,11301,Cargo Pants,1,2625069.0,2625069.0
2023-01-16,10132,Oversize Hoodie,3,2788135.0,8364405.0
2023-09-30,11391,Leather Jacket,4,1713730.0,6854920.0
2023-06-09,12421,Oversize Hoodie,4,1326533.0,5306132.0
2023-12-24,11150,Leather Jacket,2,2380403.0,4760806.0
2023-09-07,11811,Slim Jeans,1,2937290.0,2937290.0
2023-08-12,12031,Cargo Pants,4,3123419.0,12493676.0
2023-09-13,10808,Slim Jeans,1,1248118.0,1248118.0
2023-06-29,10744,Summer Dress,2,3079470.0,6158940.0
2023-01-20,10051,Knit Scarf,3,1823026.0,5469078.0
2023-04-22,11182,Leather Jacket,4,1291595.0,5166380.0
2023-04-30,10056,Oversize Hoodie,4,3168095.0,12672380.0
2023-07-13,10744,Denim Jacket,4,2863972.0,11455888.0
2023-04-21,12476,Oversize Hoodie,1,2354146.0,2354146.0
2023-07-29,10443,Cargo Pants,4,2911091.0,11644364.0
2023-01-01,11935,Oversize Hoodie,1,2324092.0,2324092.0
2023-02-27,12374,Summer Dress,5,1661110.0,8305550.0
2023-04-03,11662,Basic T-Shirt,5,3057136.0,15285680.0
2023-08-09,10080,Oversize Hoodie,1,3098931.0,3098931.0
2023-07-30,10377,Cargo Pants,5,1313982.0,6569910.0
2023-08-20,12381,Slim Jeans,2,1424587.0,2849174.0
2023-09-19,10441,Knit Scarf,2,1502481.0,3004962.0
2023-12-30,10126,Oversize Hoodie,5,2710901.0,13554505.0
2023-04-13,11718,Oversize Hoodie,3,2625651.0,7876953.0
2023-02-19,10219,Oversize Hoodie,1,3153567.0,3153567.0
2023-04-20,10948,Cargo Pants,5,1729338.0,8646690.0
2023-03-29,10278,Knit Scarf,1,2476110.0,2476110.0
2023-01-20,10595,Basic T-Shirt,5,2805981.0,14029905.0
2023-01-14,10935,Oversize Hoodie,2,1058384.0,2116768.0
2023-05-13,12019,Basic T-Shirt,3,2156527.0,6469581.0
2023-10-23,10141,Basic T-Shirt,1,1956196.0,1956196.0
2023-02-03,11631,Knit Scarf,3,2492774.0,7478322.0
2023-07-27,10877,Knit Scarf,2,2362427.0,4724854.0
2023-10-28,11730,Summer Dress,4,2685180.0,10740720.0
2023-07-18,10110,Slim Jeans,4,1305649.0,5222596.0
2023-03-21,11076,Oversize Hoodie,1,1044980.0,1044980.0
2023-03-12,11994,Oversize Hoodie,2,2664297.0,5328594.0
2023-06-04,11223,Oversize Hoodie,1,1441549.0,1441549.0
2023-03-19,10796,Basic T-Shirt,1,1240827.0,1240827.0
2023-03-19,12030,Denim Jacket,1,1376251.0,1376251.0
2023-06-21,10729,Knit Scarf,3,632473.0,1897419.0
2023-10-16,11538,Leather Jacket,5,2576147.0,12880735.0
2023-02-02,11041,Denim Jacket,2,2416689.0,4833378.0
2023-10-27,10315,Slim Jeans,3,1969904.0,5909712.0
2023-10-03,10077,Cargo Pants,5,2419234.0,12096170.0
2023-01-07,11641,Oversize Hoodie,1,1476116.0,1476116.0
2023-06-09,10712,Leather Jacket,4,1262265.0,5049060.0
2023-08-28,11538,Leather Jacket,3,2821328.0,8463984.0
2023-01-24,11868,Knit Scarf,2,1611750.0,3223500.0
2023-08-02,10854,Leather Jacket,2,988758.0,1977516.0
2023-03-11,11162,Slim Jeans,5,2509871.0,12549355.0
2023-08-04,11598,Leather Jacket,3,1373648.0,4120944.0
2023-04-14,11913,Cargo Pants,1,1032591.0,1032591.0
2023-08-03,10265,Oversize Hoodie,5,524839.0,2624195.0
2023-02-23,10333,Cargo Pants,2,3119155.0,6238310.0
2023-10-21,12236,Oversize Hoodie,3,1735046.0,5205138.0
2023-11-26,11087,Summer Dress,4,894834.0,3579336.0
2023-12-02,10820,Basic T-Shirt,1,2533981.0,2533981.0
2023-07-22,11303,Leather Jacket,2,2891041.0,5782082.0
2023-10-15,11566,Cargo Pants,3,1901912.0,5705736.0
2023-02-14,11195,Basic T-Shirt,4,527989.0,2111956.0
2023-11-13,11527,Basic T-Shirt,2,1454143.0,2908286.0
2023-07-17,10299,Basic T-Shirt,4,1118529.0,4474116.0
2023-08-04,12249,Basic T-Shirt,2,2200093.0,4400186.0
2023-11-05,11159,Basic T-Shirt,5,1876859.0,9384295.0
2023-11-28,10272,Oversize Hoodie,5,1428276.0,7141380.0
2023-07-03,10535,Slim Jeans,5,2233389.0,11166945.0
2023-01-27,12079,Leather Jacket,3,2057181.0,6171543.0
2023-06-15,11145,Leather Jacket,5,2942848.0,14714240.0
2023-11-14,10069,Oversize Hoodie,3,2091208.0,6273624.0
2023-10-01,10827,Cargo Pants,1,1846208.0,1846208.0
2023-12-31,11170,Oversize Hoodie,5,2715093.0,13575465.0
2023-04-13,10984,Knit Scarf,3,1006654.0,3019962.0
2023-11-29,10481,Denim Jacket,2,1119803.0,2239606.0
2023-04-14,12341,Basic T-Shirt,3,2604826.0,7814478.0
2023-09-02,12016,Slim Jeans,3,1666463.0,4999389.0
2023-11-01,11453,Leather Jacket,2,1575399.0,3150798.0
2023-06-18,12134,Cargo Pants,3,2889464.0,8668392.0
2023-04-26,11040,Summer Dress,2,2127800.0,4255600.0
2023-05-21,10628,Oversize Hoodie,4,2658000.0,10632000.0
2023-12-22,10118,Summer Dress,5,2677057.0,13385285.0
2023-05-05,12318,Leather Jacket,1,780073.0,780073.0
2023-01-25,10162,Oversize Hoodie,3,2247682.0,6743046.0
2023-07-13,11677,Leather Jacket,2,3069420.0,6138840.0
2023-04-10,10167,Oversize Hoodie,5,1770074.0,8850370.0
2023-01-05,10300,Cargo Pants,3,2463502.0,7390506.0
2023-01-19,12076,Leather Jacket,5,2008515.0,10042575.0
2023-06-19,10562,Knit Scarf,4,1013326.0,4053304.0
2023-10-01,12204,Summer Dress,3,986783.0,2960349.0
2023-09-11,11348,Slim Jeans,2,1643041.0,3286082.0
2023-05-01,11145,Cargo Pants,4,1778224.0,7112896.0
2023-02-01,11552,Knit Scarf,3,1833614.0,5500842.0
